title,genre
"Timeline","Science Fiction"
"Oceans","Documentary"
"Oceans","Family"
"Pompeii","Action"
"Pompeii","Adventure"
"Pompeii","History"
"Pompeii","Romance"
"Pompeii","Drama"
"Hidalgo","Western"
"Hidalgo","Adventure"
"Madagascar","Family"
"Madagascar","Animation"
"Wanted","Action"
"Wanted","Thriller"
"Wanted","Crime"
"Hairspray","Family"
"Hairspray","Comedy"
"Hairspray","Music"
"Hairspray","Romance"
"Dreamgirls","Drama"
"Munich","Drama"
"Munich","Action"
"Munich","History"
"Munich","Thriller"
"Killers","Action"
"Killers","Comedy"
"Killers","Thriller"
"Killers","Romance"
"Spanglish","Comedy"
"Bandits","Action"
"Bandits","Comedy"
"Bandits","Crime"
"Bandits","Romance"
"Immortals","Fantasy"
"Immortals","Action"
"Immortals","Drama"
"Hostage","Mystery"
"Hostage","Drama"
"Hostage","Thriller"
"Hostage","Crime"
"Soldier","Action"
"Soldier","War"
"Soldier","Science Fiction"
"Carriers","Action"
"Carriers","Drama"
"Carriers","Horror"
"Carriers","Science Fiction"
"Carriers","Thriller"
"Monkeybone","Adventure"
"Monkeybone","Fantasy"
"Monkeybone","Animation"
"Monkeybone","Action"
"Monkeybone","Comedy"
"Unbreakable","Science Fiction"
"Unbreakable","Thriller"
"Unbreakable","Drama"
"Minions","Family"
"Minions","Animation"
"Minions","Adventure"
"Minions","Comedy"
"Sphere","Science Fiction"
"Braveheart","Action"
"Braveheart","Drama"
"Braveheart","History"
"Braveheart","War"
"Jarhead","Drama"
"Jarhead","War"
"Driven","Action"
"Signs","Drama"
"Signs","Thriller"
"Signs","Science Fiction"
"Signs","Mystery"
"Cars","Animation"
"Cars","Adventure"
"Cars","Comedy"
"Cars","Family"
"xXx","Action"
"xXx","Adventure"
"xXx","Thriller"
"Ransom","Action"
"Ransom","Thriller"
"Hook","Adventure"
"Hook","Fantasy"
"Hook","Comedy"
"Hook","Family"
"Wolf","Fantasy"
"Stardust","Adventure"
"Stardust","Fantasy"
"Stardust","Romance"
"Stardust","Family"
"Doom","Adventure"
"Doom","Action"
"Doom","Horror"
"Rollerball","Action"
"Rollerball","Science Fiction"
"Rollerball","Thriller"
"Blackhat","Crime"
"Blackhat","Drama"
"Blackhat","Mystery"
"Agora","Adventure"
"Agora","Drama"
"Agora","History"
"Entrapment","Romance"
"Entrapment","Drama"
"Entrapment","Mystery"
"Dreamcatcher","Drama"
"Dreamcatcher","Horror"
"Dreamcatcher","Science Fiction"
"Dreamcatcher","Thriller"
"Lincoln","History"
"Lincoln","Drama"
"Unbroken","Drama"
"Unbroken","War"
"Cliffhanger","Action"
"Cliffhanger","Adventure"
"Cliffhanger","Thriller"
"Annie","Comedy"
"Annie","Drama"
"Annie","Family"
"Focus","Romance"
"Focus","Comedy"
"Focus","Crime"
"Focus","Drama"
"Elektra","Action"
"Elektra","Fantasy"
"Everest","Adventure"
"Everest","Drama"
"Hop","Animation"
"Hop","Comedy"
"Hop","Family"
"300","Action"
"300","Adventure"
"300","War"
"GoldenEye","Adventure"
"GoldenEye","Action"
"GoldenEye","Thriller"
"Antz","Adventure"
"Antz","Animation"
"Antz","Comedy"
"Antz","Family"
"RED","Action"
"RED","Adventure"
"RED","Comedy"
"RED","Crime"
"RED","Thriller"
"Collateral","Drama"
"Collateral","Crime"
"Collateral","Thriller"
"Contagion","Drama"
"Contagion","Thriller"
"Contagion","Science Fiction"
"Coraline","Animation"
"Coraline","Family"
"Hellboy","Fantasy"
"Hellboy","Action"
"Hellboy","Science Fiction"
"ParaNorman","Family"
"ParaNorman","Animation"
"ParaNorman","Adventure"
"ParaNorman","Comedy"
"Paycheck","Action"
"Paycheck","Adventure"
"Paycheck","Mystery"
"Paycheck","Science Fiction"
"Paycheck","Thriller"
"Joy","Drama"
"Joy","Comedy"
"Shooter","Action"
"Shooter","Drama"
"Shooter","Mystery"
"Shooter","Thriller"
"Shooter","Crime"
"Invictus","Drama"
"Invictus","History"
"Duplicity","Romance"
"Duplicity","Comedy"
"Duplicity","Crime"
"Priest","Action"
"Priest","Science Fiction"
"Priest","Fantasy"
"Priest","Thriller"
"Priest","Horror"
"Dragonfly","Drama"
"Flyboys","Action"
"Flyboys","Adventure"
"Flyboys","Drama"
"Flyboys","History"
"Flyboys","Romance"
"Flyboys","War"
"Supernova","Horror"
"Supernova","Science Fiction"
"Supernova","Thriller"
"Edtv","Comedy"
"Inkheart","Adventure"
"Inkheart","Family"
"Inkheart","Fantasy"
"Mortdecai","Comedy"
"Mortdecai","Adventure"
"Deadpool","Action"
"Deadpool","Adventure"
"Deadpool","Comedy"
"Goosebumps","Adventure"
"Goosebumps","Horror"
"Goosebumps","Comedy"
"Leatherheads","Comedy"
"Leatherheads","Romance"
"Leatherheads","Drama"
"DragonHeart","Fantasy"
"Pocahontas","Adventure"
"Pocahontas","Animation"
"Pocahontas","Drama"
"Pocahontas","Family"
"Superman","Action"
"Superman","Adventure"
"Superman","Fantasy"
"Superman","Science Fiction"
"Hitch","Comedy"
"Hitch","Drama"
"Hitch","Romance"
"Casper","Fantasy"
"Casper","Comedy"
"Casper","Family"
"Flightplan","Thriller"
"Flightplan","Drama"
"Flightplan","Mystery"
"Disclosure","Drama"
"Disclosure","Thriller"
"Disclosure","Crime"
"Disclosure","Mystery"
"Disclosure","Romance"
"Bowfinger","Comedy"
"Evita","History"
"Evita","Drama"
"Evita","Music"
"Ronin","Action"
"Ronin","Thriller"
"Ronin","Crime"
"Ronin","Adventure"
"Paddington","Family"
"Paddington","Comedy"
"Instinct","Drama"
"Instinct","Mystery"
"Instinct","Thriller"
"Changeling","Crime"
"Changeling","Drama"
"Changeling","Mystery"
"Turbulence","Action"
"Turbulence","Thriller"
"Turbulence","Crime"
"Thunderbirds","Action"
"Thunderbirds","Adventure"
"Thunderbirds","Comedy"
"Thunderbirds","Family"
"Thunderbirds","Fantasy"
"Thunderbirds","Science Fiction"
"Burlesque","Drama"
"Burlesque","Romance"
"Lolita","Drama"
"Lolita","Romance"
"Elizabethtown","Comedy"
"Elizabethtown","Drama"
"Elizabethtown","Romance"
"Gigli","Drama"
"Shaft","Action"
"Shaft","Adventure"
"Shaft","Crime"
"Shaft","Thriller"
"Anastasia","Animation"
"Anastasia","Family"
"Grindhouse","Thriller"
"Grindhouse","Action"
"Grindhouse","Horror"
"Beloved","Drama"
"Beloved","Thriller"
"Casino","Drama"
"Casino","Crime"
"Barnyard","Animation"
"Barnyard","Comedy"
"Barnyard","Family"
"Shrek","Adventure"
"Shrek","Animation"
"Shrek","Comedy"
"Shrek","Family"
"Shrek","Fantasy"
"Ted","Comedy"
"Ted","Fantasy"
"Stepmom","Drama"
"Stepmom","Romance"
"Payback","Drama"
"Payback","Action"
"Payback","Thriller"
"Payback","Crime"
"Congo","Action"
"Congo","Adventure"
"Congo","Drama"
"Congo","Mystery"
"Congo","Science Fiction"
"Congo","Thriller"
"Knowing","Action"
"Knowing","Adventure"
"Knowing","Drama"
"Knowing","Mystery"
"Knowing","Science Fiction"
"Knowing","Thriller"
"Garfield","Animation"
"Garfield","Comedy"
"Garfield","Family"
"Moneyball","Drama"
"Outbreak","Action"
"Outbreak","Drama"
"Outbreak","Science Fiction"
"Outbreak","Thriller"
"Unfaithful","Thriller"
"Unfaithful","Drama"
"Syriana","Drama"
"Syriana","Thriller"
"Firewall","Thriller"
"Striptease","Drama"
"Striptease","Thriller"
"Striptease","Crime"
"Marmaduke","Family"
"Marmaduke","Comedy"
"Hereafter","Drama"
"Hereafter","Fantasy"
"Assassins","Action"
"Assassins","Adventure"
"Assassins","Crime"
"Assassins","Thriller"
"Basic","Action"
"Basic","Drama"
"Basic","Mystery"
"Basic","Thriller"
"Basic","Crime"
"Domino","Action"
"Domino","Crime"
"Jade","Action"
"Jade","Thriller"
"Jade","Mystery"
"Jade","Romance"
"Gamer","Action"
"Gamer","Thriller"
"Gamer","Science Fiction"
"Traffic","Thriller"
"Traffic","Drama"
"Traffic","Crime"
"Chappie","Crime"
"Chappie","Action"
"Chappie","Science Fiction"
"Bedazzled","Fantasy"
"Bedazzled","Comedy"
"Bedazzled","Romance"
"Insomnia","Crime"
"Insomnia","Mystery"
"Insomnia","Thriller"
"Inchon","Drama"
"Inchon","History"
"Inchon","War"
"Prisoners","Drama"
"Prisoners","Thriller"
"Prisoners","Crime"
"Blade","Horror"
"Blade","Action"
"Anaconda","Adventure"
"Anaconda","Horror"
"Anaconda","Thriller"
"Blended","Comedy"
"Savages","Crime"
"Savages","Drama"
"Savages","Thriller"
"Cellular","Action"
"Cellular","Adventure"
"Cellular","Crime"
"Cellular","Thriller"
"Dune","Action"
"Dune","Science Fiction"
"Dune","Adventure"
"Multiplicity","Comedy"
"Multiplicity","Fantasy"
"Multiplicity","Science Fiction"
"Nixon","History"
"Nixon","Drama"
"Argo","Drama"
"Argo","Thriller"
"Sleepers","Crime"
"Sleepers","Drama"
"Sleepers","Thriller"
"Pinocchio","Animation"
"Pinocchio","Family"
"Unleashed","Action"
"Unleashed","Crime"
"Boomerang","Comedy"
"Boomerang","Romance"
"Cleopatra","Drama"
"Cleopatra","History"
"Cleopatra","Romance"
"Lucy","Action"
"Lucy","Science Fiction"
"Dracula","Romance"
"Dracula","Horror"
"42","Drama"
"Ray","Drama"
"Ray","Music"
"JFK","Drama"
"JFK","Thriller"
"JFK","History"
"Spawn","Action"
"Spawn","Adventure"
"Spawn","Fantasy"
"Spawn","Horror"
"Spawn","Science Fiction"
"Spawn","Thriller"
"Unknown","Action"
"Unknown","Mystery"
"Unknown","Thriller"
"Apocalypto","Action"
"Apocalypto","Adventure"
"Apocalypto","Drama"
"Apocalypto","Thriller"
"Predators","Action"
"Predators","Science Fiction"
"Predators","Adventure"
"Predators","Thriller"
"Gothika","Horror"
"Gothika","Thriller"
"Amistad","Drama"
"Amistad","History"
"Amistad","Mystery"
"Paul","Adventure"
"Paul","Comedy"
"Paul","Science Fiction"
"8MM","Thriller"
"8MM","Crime"
"8MM","Mystery"
"Rent","Drama"
"Rent","Romance"
"Colombiana","Action"
"Colombiana","Thriller"
"Colombiana","Crime"
"Colombiana","Drama"
"Torque","Action"
"Showgirls","Drama"
"Ishtar","Action"
"Ishtar","Adventure"
"Ishtar","Comedy"
"Alfie","Comedy"
"FearDotCom","Horror"
"FearDotCom","Thriller"
"Duplex","Action"
"Duplex","Comedy"
"Duplex","Thriller"
"Pandorum","Action"
"Pandorum","Horror"
"Pandorum","Mystery"
"Pandorum","Science Fiction"
"Pandorum","Thriller"
"Impostor","Action"
"Impostor","Science Fiction"
"Impostor","Thriller"
"Sunshine","Science Fiction"
"Sunshine","Thriller"
"Delgo","Adventure"
"Delgo","Fantasy"
"Delgo","Animation"
"Delgo","Comedy"
"Delgo","Science Fiction"
"Delgo","Family"
"Stormbreaker","Adventure"
"Stormbreaker","Action"
"Stormbreaker","Family"
"Disturbia","Thriller"
"Disturbia","Drama"
"Disturbia","Mystery"
"Hackers","Action"
"Hackers","Crime"
"Hackers","Thriller"
"Hackers","Drama"
"Nomad","Action"
"Nomad","History"
"Nomad","War"
"Snowpiercer","Action"
"Snowpiercer","Science Fiction"
"Snowpiercer","Drama"
"Frankenweenie","Animation"
"Frankenweenie","Comedy"
"Frankenweenie","Family"
"Serenity","Science Fiction"
"Serenity","Action"
"Serenity","Adventure"
"Serenity","Thriller"
"Enough","Drama"
"Enough","Thriller"
"Heartbreakers","Crime"
"Heartbreakers","Comedy"
"Heartbreakers","Romance"
"Precious","Drama"
"Riddick","Science Fiction"
"Riddick","Action"
"Riddick","Thriller"
"Switchback","Action"
"Switchback","Adventure"
"Switchback","Mystery"
"Switchback","Thriller"
"Creed","Drama"
"Rush","Drama"
"Rush","Action"
"Magnolia","Drama"
"Twilight","Adventure"
"Twilight","Fantasy"
"Twilight","Drama"
"Twilight","Romance"
"Breakdown","Drama"
"Breakdown","Action"
"Breakdown","Thriller"
"Aloha","Drama"
"Aloha","Comedy"
"Aloha","Romance"
"Gattaca","Thriller"
"Gattaca","Science Fiction"
"Gattaca","Mystery"
"Gattaca","Romance"
"Batman","Fantasy"
"Batman","Action"
"21","Drama"
"21","Crime"
"Trainwreck","Comedy"
"Species","Science Fiction"
"Species","Horror"
"Species","Action"
"Secretariat","Drama"
"TMNT","Adventure"
"TMNT","Animation"
"TMNT","Comedy"
"TMNT","Family"
"Radio","Drama"
"Poltergeist","Horror"
"Closer","Drama"
"Closer","Romance"
"Mirrors","Horror"
"Mirrors","Mystery"
"Mirrors","Thriller"
"Untraceable","Drama"
"Heist","Crime"
"Heist","Action"
"Heist","Thriller"
"Hoffa","Crime"
"Hoffa","History"
"Concussion","Drama"
"Abduction","Thriller"
"Abduction","Action"
"Abduction","Mystery"
"Valiant","Animation"
"Valiant","Family"
"Valiant","Adventure"
"Cursed","Horror"
"Cursed","Comedy"
"Parker","Action"
"Parker","Crime"
"Wimbledon","Comedy"
"Wimbledon","Romance"
"Bait","Action"
"Bait","Horror"
"Bait","Thriller"
"Krull","Fantasy"
"Krull","Action"
"Krull","Adventure"
"Whiteout","Action"
"Whiteout","Crime"
"Whiteout","Mystery"
"Whiteout","Thriller"
"Sabotage","Action"
"Sabotage","Drama"
"Sabotage","Thriller"
"Sabotage","Crime"
"Zoom","Family"
"Zoom","Fantasy"
"Zoom","Comedy"
"Biutiful","Drama"
"Bandidas","Action"
"Bandidas","Comedy"
"Bandidas","Western"
"Bandidas","Crime"
"Stolen","Action"
"Stolen","Crime"
"Stolen","Drama"
"Stolen","Thriller"
"Reds","Drama"
"Reds","History"
"Safe","Action"
"Safe","Crime"
"Safe","Thriller"
"Doomsday","Action"
"Doomsday","Thriller"
"Doomsday","Science Fiction"
"Wanderlust","Comedy"
"Elf","Comedy"
"Elf","Family"
"Elf","Fantasy"
"Phenomenon","Drama"
"Phenomenon","Fantasy"
"Phenomenon","Romance"
"Phenomenon","Science Fiction"
"Scrooged","Fantasy"
"Scrooged","Comedy"
"Scrooged","Drama"
"Bridesmaids","Comedy"
"Bridesmaids","Romance"
"Stigmata","Horror"
"Takers","Action"
"Takers","Crime"
"Takers","Drama"
"Takers","Thriller"
"Alive","Action"
"Alive","Adventure"
"Alive","Drama"
"Alive","Thriller"
"1941","Action"
"1941","Comedy"
"Bogus","Fantasy"
"Bogus","Comedy"
"Bogus","Family"
"Criminal","Action"
"Flight","Drama"
"Moonraker","Action"
"Moonraker","Adventure"
"Moonraker","Thriller"
"Moonraker","Science Fiction"
"Arachnophobia","Comedy"
"Arachnophobia","Horror"
"Frequency","Crime"
"Frequency","Drama"
"Frequency","Science Fiction"
"Frequency","Thriller"
"Vacation","Comedy"
"Chicago","Action"
"Chicago","Comedy"
"Chicago","Crime"
"Chicago","Drama"
"Chicago","Music"
"Speed","Action"
"Speed","Adventure"
"Speed","Crime"
"Se7en","Crime"
"Se7en","Mystery"
"Se7en","Thriller"
"Looper","Action"
"Looper","Thriller"
"Looper","Science Fiction"
"Babe","Fantasy"
"Babe","Drama"
"Babe","Comedy"
"Babe","Family"
"Blow","Crime"
"Blow","Drama"
"Atonement","Drama"
"Atonement","Romance"
"Sicario","Action"
"Sicario","Crime"
"Sicario","Drama"
"Sicario","Mystery"
"Sicario","Thriller"
"Southpaw","Action"
"Southpaw","Drama"
"Hanna","Action"
"Hanna","Thriller"
"Hanna","Adventure"
"Carrie","Drama"
"Carrie","Horror"
"9","Action"
"9","Adventure"
"9","Animation"
"9","Science Fiction"
"9","Thriller"
"Bulworth","Comedy"
"Bulworth","Drama"
"Virtuosity","Action"
"Virtuosity","Crime"
"Virtuosity","Science Fiction"
"Virtuosity","Thriller"
"Sanctum","Action"
"Sanctum","Thriller"
"Ultraviolet","Science Fiction"
"Ultraviolet","Action"
"Ultraviolet","Thriller"
"Fled","Action"
"Fled","Comedy"
"Fled","Thriller"
"Splice","Horror"
"Splice","Thriller"
"Splice","Science Fiction"
"Godsend","Drama"
"Godsend","Horror"
"Godsend","Science Fiction"
"Godsend","Thriller"
"Antitrust","Action"
"Antitrust","Crime"
"Antitrust","Drama"
"Glory","War"
"Supercross","Action"
"Supercross","Adventure"
"Supercross","Drama"
"Supercross","Romance"
"Mumford","Comedy"
"Mumford","Drama"
"Mumford","Romance"
"Aladdin","Animation"
"Aladdin","Family"
"Aladdin","Comedy"
"Aladdin","Adventure"
"Aladdin","Fantasy"
"Aladdin","Romance"
"Miracle","Drama"
"Miracle","History"
"Identity","Mystery"
"Identity","Thriller"
"Serendipity","Comedy"
"Serendipity","Romance"
"Timecop","Thriller"
"Timecop","Science Fiction"
"Timecop","Action"
"Timecop","Crime"
"Zoolander","Comedy"
"Kundun","Drama"
"Alatriste","Action"
"Octopussy","Adventure"
"Octopussy","Action"
"Octopussy","Thriller"
"Rendition","Drama"
"Rendition","Thriller"
"Anonymous","Drama"
"Anonymous","History"
"Anonymous","Thriller"
"Flawless","Comedy"
"Flawless","Drama"
"Mindhunters","Mystery"
"Mindhunters","Thriller"
"Mindhunters","Crime"
"EverAfter","Drama"
"EverAfter","Romance"
"EverAfter","Comedy"
"Flatliners","Drama"
"Flatliners","Horror"
"Flatliners","Science Fiction"
"Flatliners","Thriller"
"Legion","Horror"
"Clockstoppers","Adventure"
"Clockstoppers","Family"
"Clockstoppers","Science Fiction"
"Clockstoppers","Thriller"
"Silverado","Action"
"Silverado","Crime"
"Silverado","Drama"
"Silverado","Western"
"Brothers","Drama"
"Brothers","Thriller"
"Brothers","War"
"Flipper","Adventure"
"Flipper","Family"
"Taken","Action"
"Taken","Thriller"
"Viy","Thriller"
"Viy","Adventure"
"Viy","Mystery"
"Viy","Fantasy"
"Cloverfield","Action"
"Cloverfield","Thriller"
"Cloverfield","Science Fiction"
"Chocolat","Comedy"
"Chocolat","Drama"
"Chocolat","Romance"
"Tombstone","Action"
"Tombstone","Adventure"
"Tombstone","Drama"
"Tombstone","History"
"Tombstone","Western"
"GoodFellas","Drama"
"GoodFellas","Crime"
"Scarface","Action"
"Scarface","Crime"
"Scarface","Drama"
"Scarface","Thriller"
"Contraband","Thriller"
"Contraband","Action"
"Contraband","Drama"
"Contraband","Crime"
"Elizabeth","Drama"
"Elizabeth","History"
"Kingpin","Comedy"
"War","Action"
"War","Thriller"
"War","Crime"
"EuroTrip","Comedy"
"Legend","Crime"
"Legend","Thriller"
"Lifeforce","Fantasy"
"Lifeforce","Horror"
"Lifeforce","Science Fiction"
"Lifeforce","Thriller"
"Warrior","Action"
"Warrior","Drama"
